学校,专业,备注,年份,科目,平均分,最低分,位次
中南大学,临床医学,（八年制）（第1~6学年按本科生标准（7800元/年缴纳学费，第7〜8学年）（转入博士生阶段按临床医学专业学位博士生学费标准）（15000元/年缴纳学费）） 选科要求：首选物理，再选化学、生物(2科必选),2023,物理类,-,662,953
中南大学,口腔医学,（5+3—体化） 选科要求：首选物理，再选化学、生物(2科必选),2023,物理类,-,660,1118
中南大学,计算机类,（计算机与通信类）（包含计算机科学与技术、信息安全、通信工程、数据科学与大数据技术） 选科要求：首选物理，再选不限,2023,物理类,-,640,3779
中南大学,电子信息类,（包含光电信息科学与工程、电子信息科学与技术） 选科要求：首选物理，再选不限,2023,物理类,-,639,3974
中南大学,临床医学类,（临床及口腔五年制医学类）（包含临床医学（五年制、口腔医学）（五年制、麻醉学、精神医学）） 选科要求：首选物理，再选化学、生物(2科必选),2023,物理类,-,638,4170
中南大学,软件工程,选科要求：首选物理，再选不限,2023,物理类,-,638,4170
中南大学,航空航天类,（包含航空航天工程） 选科要求：首选物理，再选不限,2023,物理类,-,638,4170
中南大学,公共卫生与预防医学类,（非临床五年制医学类）（包含预防医学、基础医学、临床药学） 选科要求：首选物理，再选化学、生物(2科必选),2023,物理类,-,637,4365
中南大学,数学类,（包含数学与应用数学、信息与计算科学、统计学） 选科要求：首选物理，再选不限,2023,物理类,-,637,4365
中南大学,能源动力类,（能源类）（包含能源与动力工程、新能源科学与工程、建筑环境与能源应用工程） 选科要求：首选物理，再选不限,2023,物理类,-,635,4749
中南大学,自动化类,（自动化与电气类）（包含电气工程及其自动化、自动化、测控技术与仪器、电于信息工程、人工智能） 选科要求：首选物理，再选化学,2023,物理类,-,634,4948
中南大学,建筑类,（建筑城规类）（包含建筑学、城乡规划） 选科要求：首选物理，再选不限,2023,物理类,-,634,4948
中南大学,机械类,（包含机械设计制造及其自动化、车辆工程、微电子科学与工程） 选科要求：首选物理，再选不限,2023,物理类,-,633,5158
中南大学,测绘类,（遥感测绘类）（包含测绘工程、遥感科学与技术） 选科要求：首选物理，再选不限,2023,物理类,-,633,5158
中南大学,金融学类,（经济管理类）（包含国际经济与贸易、金融学、工商管理、会计学、行政管理） 选科要求：首选物理，再选不限,2023,物理类,-,633,5158
中南大学,土木类,（土木安全类）（包含土木工程、铁道工程、工程力学、消防工程、工程管理、城市地下空间工程、安全工程） 选科要求：首选物理，再选不限,2023,物理类,-,632,5340
中南大学,交通运输类,（包含交通运输、交通设备与障制工程、轨道交通信号与注制） 选科要求：首选物理，再选化学,2023,物理类,-,630,5771
中南大学,材料类,（冶金材料类）（包含材料科学与工程、粉体材料科学与工程、冶金工程、新能源材料与器件、无机非金属材料工程） 选科要求：首选物理，再选化学,2023,物理类,-,628,6240
中南大学,化工与制药类,（化学生物环境类）（包含应用化学、化学工程与工艺、制药工程、生物工程、生物技术） 选科要求：首选物理，再选化学,2023,物理类,-,628,6240
中南大学,计算机科学与技术,（中外合作办学）（中南大学邓迪国际学院）（专业课程采用全英文授课，建议非英语语种考生慎重报考） 选科要求：首选物理，再选不限,2023,物理类,-,614,10130
中南大学,数学与应用数学,（中外合作办学）（中南大学邓迪国际学院）（专业课程采用全英文授课，建议非英语语种考生慎重报考） 选科要求：首选物理，再选不限,2023,物理类,-,612,10834
