学校,年份,录取批次,招生类型,最低分/位次,省控线,专业组,选科要求
中南大学,2024,本科批,普通类,666/899,422,（110）,首选物理，再选化学、生物(2科必选)
中南大学,2024,本科批,普通类,624/6853,422,（107）,首选物理，再选化学
中南大学,2024,本科批,普通类,623/7093,422,（109）,首选物理，再选化学、生物(2科必选)
中南大学,2024,本科批,国家专项计划,620/7846,422,（311）,首选物理，再选不限
中南大学,2024,本科批,国家专项计划,605/12495,422,（313）,首选物理，再选化学、生物(2科必选)
中南大学,2024,本科批,少数民族预科班,604/12862,422,（802）,首选物理，再选化学
中南大学,2024,本科批,中外合作办学或国际项目,601/13918,422,（208）,首选物理，再选化学
中南大学,2024,本科批,国家专项计划,600/14294,422,（312）,首选物理，再选化学
中南大学,2024,本科批,普通类,616/930,438,（105）,首选历史，再选不限
中南大学,2024,本科批,国家专项计划,604/1682,438,（306）,首选历史，再选不限
中南大学,2024,本科批,少数民族预科班,599/2095,438,（801）,首选历史，再选不限
中南大学,2023,本科批,普通类,662/953,415,（109）,首选物理，再选化学、生物(2科必选)
中南大学,2023,本科批,普通类,637/4365,415,（108）,首选物理，再选化学、生物(2科必选)
中南大学,2023,本科批,普通类,632/5340,415,（105）,首选物理，再选不限
中南大学,2023,本科批,普通类,628/6240,415,（107）,首选物理，再选化学
中南大学,2023,本科批,中外合作办学或国际项目,606/12939,415,（206）,首选物理，再选化学
中南大学,2023,本科批,中外合作办学或国际项目,604/13674,415,（204）,首选物理，再选不限
中南大学,2023,本科批,普通类,611/1119,428,（103）,首选历史，再选不限
中南大学,2022,本科批,普通类,640/1175,414,（009）,首选物理，再选化学、生物(2科必选)
中南大学,2022,本科批,普通类,619/3877,414,（008）,首选物理，再选化学、生物(2科必选)
中南大学,2022,本科批,普通类,613/5050,414,（004）,首选物理，再选不限
中南大学,2022,本科批,普通类,606/6699,414,（006）,首选物理，再选化学
中南大学,2022,本科批,国家专项计划,597/9357,414,（014）,首选物理，再选化学/生物(2选1)
中南大学,2022,本科批,国家专项计划,595/9960,414,（015）,首选物理，再选化学/地理(2选1)
中南大学,2022,本科批,国家专项计划,593/10627,414,（013）,首选物理，再选化学、生物(2科必选)
中南大学,2022,本科批,国家专项计划,592/11012,414,（011）,首选物理，再选不限
中南大学,2022,本科批,国家专项计划,587/12867,414,（012）,首选物理，再选化学
中南大学,2022,本科批,中外合作办学或国际项目,586/13272,414,（007）,首选物理，再选化学
中南大学,2022,本科批,普通类,598/1112,451,（003）,首选历史，再选不限
中南大学,2022,本科批,国家专项计划,590/1687,451,（010）,首选历史，再选不限
中南大学,2021,本科批,普通类,652/1157,434,（108）,首选物理，再选化学、生物(2科必选)
中南大学,2021,本科批,普通类,631/3743,434,（107）,首选物理，再选化学、生物(2科必选)
中南大学,2021,本科批,普通类,625/4860,434,（105）,首选物理，再选不限
中南大学,2021,本科批,普通类,617/6711,434,（106）,首选物理，再选化学
中南大学,2021,本科批,少数民族预科班,607/9702,434,（812）,首选物理，再选不限
中南大学,2021,本科批,普通类,609/1056,466,（103）,首选历史，再选不限
中南大学,2021,本科批,少数民族预科班,598/1855,466,（811）,首选历史，再选不限
中南大学,2020,本科一批,普通类,636/5183,507,,
中南大学,2020,国家专项计划本科批,普通类,633/5884,-,,
中南大学,2020,国家专项计划本科批,普通类,628/1003,-,,
中南大学,2020,本科一批,普通类,627/1074,550,,
中国人民解放军国防科技大学,2024,本科批,普通类,644/3014,422,（114）,首选物理，再选化学
中国人民解放军国防科技大学,2024,本科提前批,通信导航岗位合格（女生）,661/1249,-,（112）,首选物理，再选化学
中国人民解放军国防科技大学,2024,本科提前批,通用标准合格（女生）,660/1339,-,（110）,首选物理，再选化学
中国人民解放军国防科技大学,2024,本科提前批,通用标准合格（女生）,657/1585,-,（113）,首选物理，再选化学
中国人民解放军国防科技大学,2024,本科提前批,电子对抗岗位合格（女生）,652/2089,-,（111）,首选物理，再选化学
中国人民解放军国防科技大学,2024,本科提前批,通用标准合格（男生）,631/5252,-,（106）,首选物理，再选化学
中国人民解放军国防科技大学,2024,本科提前批,通信导航岗位合格（男生）,631/5252,-,（105）,首选物理，再选化学
中国人民解放军国防科技大学,2024,本科提前批,通信导航岗位合格（男生）,628/5898,-,（108）,首选物理，再选化学
中国人民解放军国防科技大学,2024,本科提前批,通用标准合格（男生）,627/6131,-,（109）,首选物理，再选化学
中国人民解放军国防科技大学,2024,本科提前批,电子对抗岗位合格（男生）,623/7093,-,（107）,首选物理，再选化学
中国人民解放军国防科技大学,2024,本科提前批,通用标准合格（女生）,629/409,-,（104）,首选历史，再选思想政治
中国人民解放军国防科技大学,2024,本科提前批,通用标准合格（女生）,629/409,-,（103）,首选历史，再选不限
中国人民解放军国防科技大学,2024,本科提前批,通用标准合格（男生）,612/1137,-,（102）,首选历史，再选思想政治
中国人民解放军国防科技大学,2024,本科提前批,通用标准合格（男生）,553/8753,-,（101）,首选历史，再选不限
中国人民解放军国防科技大学,2023,本科批,普通类,646/2756,415,（120）,首选物理，再选不限
中国人民解放军国防科技大学,2022,本科批,普通类,625/2902,414,（011）,首选物理，再选不限
中国人民解放军国防科技大学,2022,本科提前批,其他专业合格（非指挥专业，女生）,631/2094,475,（009）,首选物理，再选不限
中国人民解放军国防科技大学,2022,本科提前批,其他专业合格（不区分指挥、非指挥，女生）,624/3062,475,（010）,首选物理，再选不限
中国人民解放军国防科技大学,2022,本科提前批,其他专业合格（非指挥专业，男生）,619/3877,475,（005）,首选物理，再选不限
中国人民解放军国防科技大学,2022,本科提前批,其他专业合格（不区分指挥、非指挥，男生）,605/6970,475,（008）,首选物理，再选不限
中国人民解放军国防科技大学,2022,本科提前批,其他专业合格（指挥专业，男生）,604/7239,475,（006）,首选物理，再选不限
中国人民解放军国防科技大学,2022,本科提前批,其他专业合格（指挥专业，男生）,602/7803,475,（007）,首选物理，再选思想政治
中国人民解放军国防科技大学,2022,本科提前批,其他专业合格（非指挥专业，女生）,613/440,499,（004）,首选历史，再选不限
中国人民解放军国防科技大学,2022,本科提前批,其他专业合格（指挥专业，男生）,612/474,499,（003）,首选历史，再选思想政治
